CodCategoria;Categoria;Descricao;NomeDeGrupo
EXT107;Eletrodomésticos;Aspiradores de Pó, Batedeiras, Cafeteiras, Chuveiros Elétricos e Duchas Elétricas, Enceradeiras, Espremedores, Fogões, Fornos, Freezers, Fritadeiras, Geladeiras, Lava-Louças, Lava-Pratos, Liqüidificadores, Máquinas de Costura, Multiprocessadores, Secadoras, Torradeiras, Ventiladores.;Falso;
EXT108;Imobiliário;Administradoras de Imóveis, Locação e Vendas (de Apartamentos, Apart-Hotéis, Casas, Centros Comerciais e Shopping Centers, Condomínios, Escritórios, Fazendas, Lojas, Lotes e Terrenos).;Falso;
EXT109;Institucional Ou Corporativo;Trabalhos para qualquer tipo de anunciante, mas que não tenham nenhuma referência específica a determinado produto ou serviço e sim à imagem da empresa ou corporação como um todo.;Falso;
EXT110;Meios De Comunicação;Emissoras de Rádio, Emissoras de Televisão, Jornais, Revistas, Sites ou Portais de Notícias.;Falso;
EXT111;Mercado Publicitário;Agências de Propaganda, Agências de Promoções, Agências de Web-Design, Produtoras de Áudio, Foto e Vídeo.;Falso;
EXT112;Móveis, Decoração e Utensílios Domésticos;Acendedores, Apetrechos de Cozinha e de Bar, Artigos de Cama, Mesa e Banho, Artesanatos, Aquecedores a Gás, Copos e Cristais, Cozinhas, Cutelaria e Talheres, Equipamentos de Segurança e Comunicação Interna, Ferragens, Lâmpadas e Luminárias, Louças e Baixelas, Materiais de Construção, Materiais Sanitários, Panelas em Geral, Papéis de Parede, Persianas e Toldos, Pisos e Revestimentos, Tapetes e Carpetes, Tubos e Conexões.;Falso;
EXT113;Política e Eleições;Associações de Classe, Cargos Públicos e Privados, Partidos Políticos.;Falso;
EXT114;Produtos e Serviços Para Agropecuária;Adubos, Defensivos, Implementos, Inseticidas, Máquinas, Produtos Veterinários, Rações Animais, Sementes e Tratores.;Falso;
EXT115;Produtos e Serviços Automotivos;Aditivos, Acessórios e Peças, Carrocerias, Combustíveis, Lubrificantes, Oficinas Mecânicas e de Lanternagem, Pneus, Postos de Serviços, Recauchutagem, Sistemas de Segurança.;Falso;
EXT116;Produtos e Serviços Para Comércio e Escritório;Arquivos, Computadores, Copiadoras, Empresas Gráficas, Empresas de Limpeza, Empresas de Vale-Refeição e Assemelhados, Fax, Impressoras, Listas Telefônicas, Máquinas de Escrever, Máquinas de Calcular, Material de Escrita, Desenho e Papelaria, Móveis Profissionais, Serviços de Entrega, Serviços e Equipamentos de Manutenção e Segurança, Software e Suprimentos de Informática.;Falso;
EXT117;Produtos e Serviços Comunitários;Defesa da Ecologia, Campanhas Educativas de Qualquer Natureza (Trânsito, Eleição, Antidrogas etc), Entidades Filantrópicas e Beneméritas, Igrejas e Cultos, Serviços Assistenciais Públicos e Privados.;Falso;
EXT118;Produtos e Serviços Para A Indústria;Bens, Consultorias, Instalações, Insumos, Maquinarias, Pesquisas de Mercado, Serviços de Carga.;Falso;
EXT119;Produtos e Serviços De Lazer e Recreação;Aparelhagens de Áudio e de Vídeo, Aparelhagens de Ginástica ou Esportivas, Baralhos, Bicicletas, Binóculos e Lunetas, Brinquedos em Geral, Equipamento e Material Fotográfico, Fliperamas, Instrumentos Musicais, Jet-Skys, Jogos em Geral, Lanchas, Locadoras de Vídeo e Videogames, Loterias, Computadores e Tablets Pessoais, Modelismo, Projetores, Serviços de Revelação Fotográfica, Trailers, Videocâmeras, Videogravadores, Videogames e Cartuchos.;Falso;
EXT120;Produtos e Serviços De Limpeza e Manutenção Do Lar;Adesivos, Abrasivos, Amaciantes de Roupas, Assistências Técnicas e Serviços de Consertos, Ceras, Detergentes Líquidos e em Pó, Esponjas de Limpeza e Assemelhados, Equipamentos de Jardinagem, Equipamentos para Piscinas, Furadeiras, Gás Engarrafado, Inseticidas e Repelentes, Limpadores Concentrados e Multiuso, Lixeiras e Sacos para Lixo, Papéis Laminados, Papéis-Toalha, Pilhas, Sabões em Barra e Assemelhados, Solventes, Tintas, Vassouras, Velas.;Falso;
